epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.203125,2.5312469005584717,,
0,99,0.421875,1.775201439857483,,
0,149,0.5,1.4881513118743896,,
0,199,0.578125,1.2183946371078491,,
0,249,0.6875,0.7596624493598938,,
0,299,0.703125,0.7329809069633484,,
0,349,0.8125,0.5446284413337708,,
0,399,0.78125,0.5663610100746155,,
0,449,0.875,0.36579784750938416,,
0,481,,,0.4946211874485016,1.8509794473648071
1,499,0.75,0.6088934540748596,,
1,549,0.8125,0.4261012375354767,,
1,599,0.875,0.3563685417175293,,
1,649,0.875,0.36285459995269775,,
1,699,0.6875,0.7229855060577393,,
1,749,0.890625,0.4391515254974365,,
1,799,0.8125,0.332579106092453,,
1,849,0.921875,0.18549798429012299,,
1,899,0.78125,0.43102824687957764,,
1,949,0.921875,0.2337653934955597,,
1,963,,,0.6636911630630493,1.1881344318389893
2,999,0.84375,0.28972727060317993,,
2,1049,0.9375,0.23139996826648712,,
2,1099,0.84375,0.3013882339000702,,
2,1149,0.9375,0.1646469384431839,,
2,1199,0.90625,0.21477243304252625,,
2,1249,0.890625,0.18530264496803284,,
2,1299,0.90625,0.18982821702957153,,
2,1349,0.921875,0.18370220065116882,,
2,1399,0.921875,0.20854760706424713,,
2,1445,,,0.6939421892166138,1.1358540058135986
3,1449,0.921875,0.2138202041387558,,
3,1499,0.984375,0.07134512066841125,,
3,1549,0.953125,0.08915746212005615,,
3,1599,0.921875,0.18120387196540833,,
3,1649,0.953125,0.11211695522069931,,
3,1699,0.890625,0.252517431974411,,
3,1749,0.890625,0.19687135517597198,,
3,1799,0.984375,0.05768488347530365,,
3,1849,0.890625,0.26166558265686035,,
3,1899,0.921875,0.22853372991085052,,
3,1927,,,0.7061112523078918,1.0183525085449219
4,1949,0.9375,0.11147058010101318,,
4,1999,0.859375,0.4121324121952057,,
4,2049,0.96875,0.07292287796735764,,
4,2099,0.875,0.30784735083580017,,
4,2149,0.984375,0.04455406963825226,,
4,2199,0.875,0.22568753361701965,,
4,2249,0.921875,0.22985979914665222,,
4,2299,0.921875,0.16311322152614594,,
4,2349,0.96875,0.12126879394054413,,
4,2399,0.90625,0.279338002204895,,
4,2409,,,0.7443732619285583,0.914759635925293
5,2449,0.953125,0.13242881000041962,,
5,2499,0.953125,0.12153557687997818,,
5,2549,0.984375,0.059632085263729095,,
5,2599,0.96875,0.09806135296821594,,
5,2649,0.90625,0.18481899797916412,,
5,2699,0.953125,0.07272633165121078,,
5,2749,0.90625,0.2749502658843994,,
5,2799,0.90625,0.1790885627269745,,
5,2849,0.90625,0.18098096549510956,,
5,2891,,,0.7915999293327332,0.7018415927886963
6,2899,0.875,0.18266133964061737,,
6,2949,0.90625,0.17399482429027557,,
6,2999,0.9375,0.10855399817228317,,
6,3049,0.921875,0.12524883449077606,,
6,3099,0.890625,0.25874432921409607,,
6,3149,0.9375,0.0880480632185936,,
6,3199,0.953125,0.11332635581493378,,
6,3249,0.921875,0.23127596080303192,,
6,3299,0.9375,0.08529911935329437,,
6,3349,0.953125,0.06988599896430969,,
6,3373,,,0.7588692903518677,0.8404083847999573
7,3399,0.9375,0.14562758803367615,,
7,3449,1.0,0.030271103605628014,,
7,3499,0.96875,0.08677837252616882,,
7,3549,0.984375,0.043051689863204956,,
7,3599,0.953125,0.09374092519283295,,
7,3649,0.96875,0.12507061660289764,,
7,3699,0.90625,0.2635577917098999,,
7,3749,0.9375,0.08537550270557404,,
7,3799,0.9375,0.14062705636024475,,
7,3849,0.96875,0.05472294241189957,,
7,3855,,,0.6731517314910889,1.2503689527511597
8,3899,1.0,0.01151243131607771,,
